sample_id	pH	moisture	temperature	habitat	transect_position
soil00	4.95	19.9	10.9	forest	1
soil01	4.28	28.0	14.5	forest	2
soil02	5.18	31.0	14.7	forest	3
soil03	5.27	33.5	18.1	forest	4
soil04	3.82	34.3	16.5	forest	5
soil05	4.15	34.8	15.1	forest	6
soil06	4.86	27.9	18.4	forest	7
soil07	4.64	27.2	10.4	forest	8
soil08	4.79	35.1	12.1	forest	9
soil09	4.37	28.9	11.2	forest	10
soil10	5.24	22.3	12.8	forest	11
soil11	5.19	23.2	9.9	forest	12
soil12	4.83	24.5	15.9	forest	13
soil13	5.36	33.0	13.3	forest	14
soil14	5.03	30.9	9.6	forest	15
soil15	4.37	34.1	11.0	forest	16
soil16	4.98	27.4	14.9	forest	17
soil17	4.32	31.0	16.5	forest	18
soil18	5.24	33.8	20.0	forest	19
soil19	4.78	28.1	22.7	forest	20
soil20	6.71	24.7	15.2	grassland	1
soil21	6.46	18.0	11.0	grassland	2
soil22	7.41	19.8	7.6	grassland	3
soil23	6.72	19.7	14.8	grassland	4
soil24	6.59	14.8	11.6	grassland	5
soil25	6.62	24.9	12.8	grassland	6
soil26	7.07	19.2	12.2	grassland	7
soil27	6.98	22.1	13.6	grassland	8
soil28	7.01	24.9	17.2	grassland	9
soil29	7.02	24.7	14.5	grassland	10
soil30	7.87	26.0	13.5	grassland	11
soil31	6.6	21.4	10.9	grassland	12
soil32	6.54	19.5	9.0	grassland	13
soil33	6.39	21.5	12.5	grassland	14
soil34	7.11	11.9	13.8	grassland	15
soil35	7.36	13.3	19.3	grassland	16
soil36	6.74	14.1	14.4	grassland	17
soil37	6.38	16.0	16.9	grassland	18
soil38	6.39	24.4	12.5	grassland	19
soil39	7.13	16.6	10.4	grassland	20
soil40	6.37	52.7	11.1	wetland	1
soil41	6.27	62.8	11.8	wetland	2
soil42	5.67	52.9	20.4	wetland	3
soil43	6.12	59.4	11.5	wetland	4
soil44	6.06	49.4	16.5	wetland	5
soil45	6.11	53.8	11.3	wetland	6
soil46	6.44	49.3	16.8	wetland	7
soil47	6.11	53.0	15.2	wetland	8
soil48	6.34	60.0	13.5	wetland	9
soil49	6.03	44.6	13.9	wetland	10
soil50	6.14	57.6	12.0	wetland	11
soil51	6.32	56.4	15.3	wetland	12
soil52	5.27	51.4	12.6	wetland	13
soil53	5.84	46.3	10.3	wetland	14
soil54	5.76	55.4	10.2	wetland	15
soil55	5.68	51.8	14.5	wetland	16
soil56	5.86	56.4	18.7	wetland	17
soil57	6.75	55.1	14.5	wetland	18
soil58	5.57	64.6	13.6	wetland	19
soil59	6.48	53.6	14.9	wetland	20
